patient_id,filename,run_type,run_number,condition,metastability,entropy_mean,entropy_std,entropy_min,entropy_max,entropy_len,speed_mean,speed_std,speed_min,speed_max,speed_len,norm1_mean,norm1_std,norm1_min,norm1_max,norm1_len,norm2_mean,norm2_std,norm2_min,norm2_max,norm2_len
P004,p004_r003_merged_dysco.npy,r,3,rest,4293.197418676528,2.1156673226752045,0.08972068751031424,1.8358688586877818,2.255388606534205,276,41890.87515800423,3491.8756833535203,34782.47987250779,54482.024101861425,256,85275.13955818179,5040.2051573004155,74067.53004463653,94065.89081338943,276,32510.17949312347,4293.197418676528,24663.204432389248,43829.62514211683,276
P004,p004_c004_merged_dysco.npy,c,4,cartoon,4182.138996981141,2.1169196818472438,0.08673000999768096,1.8528018365333723,2.2466749136692856,276,41308.503365447636,3731.631187410863,34738.74243315003,51834.06589572147,256,85888.9710969868,5160.606209639337,77123.63608575663,93700.97568264807,276,32678.68652506119,4182.138996981141,26152.960676341027,42948.56071561144,276
P004,p004_c005_merged_dysco.npy,c,5,cartoon,3549.168382107129,2.1516962142877323,0.07555193416437218,1.9207413648243832,2.2487073978483454,276,38577.61410258338,3292.3287665472203,32260.412651767507,47394.7242526685,256,81927.86167465552,4109.205285810748,75001.60724067241,90608.31795800554,276,30248.725083424182,3549.168382107129,25350.144378564728,39426.813807525796,276
